app_id,domain
com.gv.forestmatch3puzzlemania,www.vascogames.com
ru.subprogram.guitarsongs.vint,www.facebook.com
jio.cloud.drive,www.jiocloud.com
com.andromo.dev430593.app464289,sites.google.com
com.enki.Enki750g,www.750g.com
com.orange.kidspiano.music.songs,www.orangestudios.wirez.com.ar
awesome.wallpapers.for.android,hdwallpaperthemes.com
apps.andlabs.lifestyle.makeup.beauty.eyes.lens.changer.stylish.free,policyfather.com
com.andromo.dev281355.app281827,www.trustedfeed.com
com.arabboxx.moazen,arabboxx.blogspot.com.eg
com.sega.sprint,www.sega.com
il.co.savedate.savethedate,savedate.co.il
com.avengersapps.frasesparaeldiadelpadre,avengersapps.com
com.andromo.dev249561.app234838,londonnut.com
com.dreamed.physicsdrop,www.facebook.com
com.korrisoft.ringtone.maker,ciamedia.com
com.sinyee.babybus.dinosaur,www.babybus.com
com.tapastic,tapas.io
com.ydea.codibook,codibook.net
com.gamedevltd.destinywarfare,azurgames.com
ca.walmart.ecommerceapp,www.walmart.ca
com.andromo.dev341420.app387170,docs.google.com
ru.litres.android,www.litres.ru
de.schildbach.wallet_test,github.com
com.REG.CHECK.FREE,www.thechopperchap.co.uk
com.i6.Offroad4x4HillClimb3D,i6games.net
com.jazzmoonstewdio.android.dcmetro.activity,www.jazzmoonstudio.com
com.bauermedia.bike,www.bauerdatapromise.co.uk
com.amazon.phoenix,www.amazon.com
com.facebook.Socal,www.facebook.com
com.bigfans.crcardcreator,bigfansstudio.github.io
fr.haruni.frigomagic,www.frigomagic.com
com.isinolsun.app,www.isinolsun.com
zinga.apps.hindu_gods,www.triogenictechnologies.com
com.phantom.me,www.phantom.me
com.cootek.smartinputv5.skin.keyboard_theme_water,sina.lt
kr.co.smartstudy.bodlebookiapsong_cn_android_googlemarket,about.pinkfong.com
asuk.com.android.app,www.7eleven.co.th
com.revolutionmedia.hairstyle.with.bangs,revolutionmediad.blogspot.com
com.netbiscuits.bild.android,www.bild.de
com.coolniks.niksgps,sites.google.com
in.swiggy.android,swiggy.in
com.whatsapp,www.whatsapp.com
com.fotoable.fotobeauty,www.fotoable.com
com.outfit7.tomlovesangelafree,outfit7.com
com.launcher.theme.t211799501,www.cmcm.com
com.microsoft.office.excel,products.office.com
com.goeuro.rosie,www.omio.com
com.calm.checky,www.calm.com
com.plarium.stormfallrob,www.plarium.com
com.andromo.dev38828.app230898,semos.com
com.art.studio.jewelery.photo.suit,www.facebook.com
co.haptik,www.haptik.ai
com.asi.clubfansApp,anwarsamir.github.io
com.nkailapro.hijab.mohajabat,newapp.com
lunosoftware.nflscores,www.lunosoftware.com
kr.co.saramin.brandapp,www.saramin.co.kr
com.tellurionmobile.realmcraft,www.tellurionmobile.com
com.redorange.aceoftennis,www.facebook.com
de.heute.mobile,www.heute.de
badal.appkart.kolkatasub,firebasestorage.googleapis.com
artechnology.create.memes,artechapps.com
com.vitotechnology.StarWalk2Free,www.vitotechnology.com
com.andromo.dev315366.app400894,radioplus.mobi
com.asgardsoft.classics,www.AsgardSoft.com
com.gamestop.powerup,www.gamestop.com
com.mintwalk,www.mintwalk.com
th.co.truemoney.wallet,www.truemoney.com
com.froogloid.kring.google.zxing.client.android,www.keyringapp.com
ai.replika.app,replika.ai
com.andromo.dev518376.app501079,wallinteractiveapps.blogspot.com
com.rovio.BadPiggies,www.rovio.com
biz.app4mobile.app_c1b188672d9e450089bf3b5c90cb598b.app,deineapp.szene1.at
org.rajman.neshan.traffic.tehran.navigator,neshan.org
com.andromo.dev380672.app464546,sites.google.com
tr.com.tiramisu.driftmaxcity,www.tiramisu.com.tr
biblelivevideowallpaper.jslwp.com,docs.google.com
com.huawei.health,consumer.huawei.com
biz.app4mobile.app_10a0b507124b4905b9f1303fe8f8b5c0.app,downtownmorristown.city
com.bleedingedge.police.car.chase.crime,bleedingedge.studio
com.aws.android,www.weatherbug.com
com.khasaapp.sowarromansiya,khasaapp.blogspot.com
com.enflick.android.tn2ndLine,www.2ndline.co
com.andromo.dev319867.app437743,forelinkmedia.blogspot.com.ng
ru.yandex.disk,mobile.yandex.ru
eu.bandainamcoent.galagawars,namcobandai.zendesk.com
com.usbmis.troposphere.clinad,www.clinicaladvisor.com
com.andromo.dev468896.app476250,jatenapppsdev.blogspot.com
com.attijariwafabank.main,www.attijariwafabank.com
com.creative.Learn.to.draw.flowers,creative100.cc
com.andromo.dev421413.app467269,sites.google.com
apps.kutblog.idiomsandphrases,kutblog.com
com.BestPhotoEditor.PhotoVideoMaker,bestphotoeditor.wordpress.com
com.facetec.zoomlogin,zoomlogin.com
com.videomusic.photoslideshow,sites.google.com
com.awesomeappsstudios.infiltratingmissileairship,appsmasterbuilder.com
ru.altarix.mos.pgu,dit.mos.ru
br.com.ubook.ubookapp,www.ubook.com
com.art.studio.baby.girl.fashion.suit,www.facebook.com
com.application.zomato,www.zomato.com
com.buzzarab.buzzarab,www.buzzarab.com
com.cootek.smartinputv5.skin.keyboard_theme_pink_water_sakura,sina.lt
com.wMuslimDating_6500920,habibi.live
com.junesoftware.nazara.cbrace,www.nazara.com
uk.co.vibetickets.android,vibetickets.co.uk
com.snapchat.android,www.snap.com
com.lavendrapp.lavendr,www.surgeapp.com
mk.g6.crackyourscreen,gsix.me
com.qnap.qfile,www.qnap.com
cz.destil.settleup,settleup.io
com.atlantisgames.hopgame,www.akos-makovics.com
com.uspstudios.nurseryrhymesworld,www.uspstudios.co
com.andromo.dev516441.app481408,sites.google.com
rikka.appops,t.me
com.tabtale.cradlesong,www.tabtale.com
